iter	Passed	Remaining
425	1763	2375
426	1766	2370
427	1770	2366
428	1774	2362
429	1777	2356
430	1781	2351
431	1785	2347
432	1788	2342
433	1792	2337
434	1795	2332
435	1799	2327
436	1802	2322
437	1805	2317
438	1809	2312
439	1812	2306
440	1815	2301
441	1819	2296
442	1822	2291
443	1826	2286
444	1829	2281
445	1832	2276
446	1836	2271
447	1839	2266
448	1842	2261
449	1846	2256
450	1850	2252
451	1853	2247
452	1857	2242
453	1860	2237
454	1863	2232
455	1867	2227
456	1871	2223
457	1875	2219
458	1880	2216
459	1884	2212
460	1888	2208
461	1892	2204
462	1898	2201
463	1902	2198
464	1907	2194
465	1911	2190
466	1917	2188
467	1921	2184
468	1925	2180
469	1929	2175
470	1934	2172
471	1938	2168
472	1942	2164
473	1947	2160
474	1950	2156
475	1954	2151
476	1957	2146
477	1961	2141
478	1969	2142
479	1982	2147
480	1993	2150
481	2002	2152
482	2011	2153
483	2021	2154
484	2030	2155
485	2039	2156
486	2045	2154
487	2049	2150
488	2052	2145
489	2057	2141
490	2062	2137
491	2067	2134
492	2073	2131
493	2077	2127
494	2081	2123
495	2084	2118
496	2088	2113
497	2092	2109
498	2096	2105
499	2100	2100
500	2103	2095
501	2107	2090
502	2111	2085
503	2114	2081
504	2118	2076
505	2121	2070
506	2124	2065
507	2128	2061
508	2131	2056
509	2134	2051
510	2138	2046
511	2142	2042
512	2146	2037
513	2149	2032
514	2153	2027
515	2156	2023
516	2161	2019
517	2165	2014
518	2168	2009
519	2172	2005
520	2176	2000
521	2179	1996
522	2182	1990
523	2186	1985
524	2189	1981
525	2193	1976
526	2196	1971
527	2200	1967
528	2204	1962
529	2207	1957
530	2211	1953
531	2214	1948
532	2218	1943
533	2221	1938
534	2225	1934
535	2228	1928
536	2231	1923
537	2234	1919
538	2238	1914
539	2241	1909
540	2244	1904
541	2247	1899
542	2251	1894
543	2254	1889
544	2258	1885
545	2262	1881
546	2266	1876
547	2270	1872
548	2273	1867
549	2277	1863
550	2280	1858
551	2283	1853
552	2287	1849
553	2290	1844
554	2294	1839
555	2297	1834
556	2300	1829
557	2304	1825
558	2307	1820
559	2310	1815
560	2314	1811
561	2317	1806
562	2322	1802
563	2325	1797
564	2329	1793
565	2332	1788
566	2336	1784
567	2340	1779
568	2343	1775
569	2347	1770
570	2351	1766
571	2354	1761
572	2358	1757
573	2361	1752
574	2369	1751
575	2372	1746
576	2376	1742
577	2380	1737
578	2383	1733
579	2387	1728
580	2390	1724
581	2394	1719
582	2397	1715
583	2401	1710
584	2405	1706
585	2408	1701
586	2412	1697
587	2416	1693
588	2419	1688
589	2423	1684
590	2426	1679
591	2430	1675
592	2434	1670
593	2437	1666
594	2441	1661
595	2444	1656
596	2447	1652
597	2451	1647
598	2454	1643
599	2458	1639
600	2462	1634
601	2465	1630
602	2469	1625
603	2472	1621
604	2476	1616
605	2479	1612
606	2482	1607
607	2485	1602
608	2488	1597
609	2491	1593
610	2495	1588
611	2498	1584
612	2501	1579
613	2505	1575
614	2508	1570
615	2512	1566
616	2515	1561
617	2519	1557
618	2524	1553
619	2527	1549
620	2531	1545
621	2535	1541
622	2539	1536
623	2542	1532
624	2546	1527
625	2551	1524
626	2555	1519
627	2558	1515
628	2562	1511
629	2566	1507
630	2570	1502
631	2573	1498
632	2577	1494
633	2581	1490
634	2584	1485
635	2587	1481
636	2591	1476
637	2594	1472
638	2598	1468
639	2601	1463
640	2605	1459
641	2608	1454
642	2612	1450
643	2616	1446
644	2619	1441
645	2622	1437
646	2626	1433
647	2630	1428
648	2633	1424
649	2636	1419
650	2639	1415
651	2643	1410
652	2646	1406
653	2649	1401
654	2653	1397
655	2656	1392
656	2660	1388
657	2663	1384
658	2666	1379
659	2670	1375
660	2674	1371
661	2677	1367
662	2680	1362
663	2684	1358
664	2687	1353
665	2691	1349
666	2696	1346
667	2701	1342
668	2706	1339
669	2710	1335
670	2714	1331
